Name,Age,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Ability
Marcelo,30,88,88,43,285,2279,0,4,4,5,2,2,176
G. Bale,28,88,88,60,355,2279,0,4,3,4,3,4,176
H. Lloris,31,88,88,36,150,1335,0,4,1,1,2,1,176
G. Higuaín,30,88,88,57,245,1965,1,4,4,3,3,4,176
Thiago Silva,33,88,88,24,165,2077,1,4,3,2,3,2,176
S. Handanovič,33,88,88,30,110,1262,1,3,2,1,2,1,176
G. Buffon,40,88,88,4,77,1334,1,4,2,1,2,1,176
S. Umtiti,24,87,92,57,205,2147,0,3,3,2,3,2,179
M. Icardi,25,87,90,64.5,130,1940,1,3,4,3,1,4,177
K. Koulibaly,27,87,90,51,115,1660,1,3,3,2,4,2,177
P. Pogba,25,87,91,64,210,2247,1,4,4,5,2,3,178
K. Navas,31,87,87,30.5,195,1345,1,3,3,1,2,1,174
R. Lukaku,25,87,89,62.5,230,2031,0,3,3,3,2,4,176
C. Immobile,28,87,87,52,115,2009,1,3,4,3,3,4,174
Jordi Alba,29,87,87,38,250,2230,0,3,3,3,3,2,174
D. Mertens,31,87,87,45,135,2043,1,3,4,4,2,4,174
J. Vertonghen,31,87,87,34,155,2079,0,3,3,3,4,2,174
M. Hamšík,30,87,87,46.5,125,2188,1,3,5,3,3,3,174
I. Rakitić,30,87,87,46.5,260,2184,1,4,3,3,4,3,174
Piqué,31,87,87,34,240,1950,1,4,3,2,3,2,174
L. Sané,22,86,92,61,195,2090,0,2,3,4,3,4,178
Bernardo Silva,23,86,91,59.5,180,2039,0,2,3,4,3,4,177
Ederson,24,86,90,41.5,125,1463,0,2,3,1,2,1,176
S. Mané,26,86,87,52,195,2110,1,3,4,4,3,3,173
V. van Dijk,26,86,88,44.5,165,2046,1,3,3,2,2,2,174
R. Sterling,23,86,89,56.5,195,2036,1,3,3,4,3,4,175
Roberto Firmino,26,86,87,53,195,2187,1,3,4,4,4,3,173
R. Varane,25,86,91,50,210,1895,1,3,3,2,3,2,177
M. Verratti,25,86,89,55,135,2149,1,3,4,4,3,3,175
Alex Sandro,27,86,86,36.5,160,2198,0,3,3,3,4,2,172
Douglas Costa,27,86,86,46.5,175,2111,0,3,3,5,3,3,172
T. Müller,28,86,86,45,135,2097,1,4,4,3,4,3,172
Thiago,27,86,86,45.5,130,2190,1,3,3,5,2,3,172
M. Reus,29,86,86,43.5,100,2172,1,4,4,4,3,3,172
Azpilicueta,28,86,86,35,175,2114,1,3,3,2,2,2,172
L. Bonucci,31,86,86,30,160,1978,1,3,3,2,2,2,172
T. Alderweireld,29,86,87,39,150,2047,1,3,3,2,2,2,173
M. Pjanić,28,86,86,44,180,2182,1,3,4,3,2,3,172
M. Benatia,31,86,86,30,160,1803,1,3,3,2,3,2,172
M. Özil,29,86,86,43.5,190,1911,0,4,2,4,1,3,172
Fernandinho,33,86,86,18,185,2183,1,3,4,3,3,3,172
Iniesta,34,86,86,21.5,21,2058,1,4,4,4,3,4,172
M. Škriniar,23,85,92,46.5,82,1800,1,1,4,2,3,2,177
S. Milinković-Savić,23,85,90,50.5,73,2206,1,2,4,4,3,3,175
Marco Asensio,22,85,92,54,215,2050,0,3,3,4,3,4,177
N. Fekir,24,85,89,50,92,2102,0,3,3,4,3,3,174
Alisson,25,85,90,36.5,115,1320,1,3,3,1,2,1,175
J. Kimmich,23,85,88,40.5,92,2185,1,3,4,3,2,3,173
Saúl,23,85,90,50.5,77,2196,0,3,4,3,4,3,175
R. Mahrez,27,85,85,40.5,205,2031,0,3,4,5,2,4,170
D. Alaba,26,85,87,38,110,2261,0,4,4,3,3,2,172
Koke,26,85,86,45,88,2175,1,3,4,3,4,3,171
A. Lacazette,27,85,86,45,180,2060,1,3,4,4,4,4,171
K. Manolas,27,85,87,37.5,96,1642,1,3,2,2,2,2,172
N. Otamendi,30,85,85,28.5,170,1916,1,3,3,2,4,2,170
Parejo,29,85,85,37,66,2119,1,2,4,3,1,3,170
Paulinho,29,85,85,37,235,2245,1,3,3,3,4,3,170
W. Szczęsny,28,85,87,32,125,1270,1,3,3,1,2,1,172
A. Sánchez,29,85,85,37.5,215,2172,1,4,3,4,4,4,170
Y. Brahimi,28,85,85,39,28,2030,1,3,3,4,3,3,170
J. Boateng,29,85,85,30,115,1948,1,4,4,2,2,2,170
A. Vidal,31,85,85,26,205,2230,1,4,4,3,2,3,170
I. Perišić,29,85,85,37.5,110,2199,1,3,5,4,2,3,170
E. Džeko,32,85,85,30.5,115,1931,1,3,5,2,2,4,170
S. Khedira,31,85,85,33,160,2154,1,3,4,2,4,3,170
Diego Costa,29,85,85,38.5,100,2003,1,4,4,2,3,4,170
R. Nainggolan,30,85,85,35.5,105,2278,1,3,3,3,4,3,170
Naldo,35,85,85,9,38,1959,1,3,4,2,2,2,170
B. Matuidi,31,85,85,26,145,2196,0,3,2,2,4,3,170
Miranda,33,85,85,15.5,96,1879,1,3,3,2,3,2,170
K. Benzema,30,85,85,37,240,2000,1,4,4,4,1,4,170
Filipe Luís,32,85,85,21.5,81,2145,0,3,3,3,3,2,170
V. Kompany,32,85,85,22,170,1898,1,4,3,2,3,2,170
Pepe,35,85,85,9,57,1832,1,4,3,2,3,2,170
Z. Ibrahimović,36,85,85,14,15,2012,1,5,4,5,1,4,170
D. Sánchez,22,84,88,34,105,1809,1,2,3,2,3,2,172
J. Giménez,23,84,88,34,63,1758,1,2,3,2,3,2,172
Alex Telles,25,84,87,32,22,2259,0,3,2,3,3,2,171
A. Laporte,24,84,88,34,135,1912,0,2,3,2,2,2,172
Bruno Fernandes,23,84,88,40.5,22,2223,1,2,3,4,3,3,172
N. Süle,22,84,90,36.5,84,1648,1,2,3,2,2,2,174
A. Martial,22,84,90,42.5,165,2064,1,3,3,4,2,4,174
D. Alli,22,84,90,42.5,115,2189,1,3,3,4,4,3,174
Fabinho,24,84,88,34,120,2164,1,3,2,3,2,3,172
Marquinhos,24,84,89,35.5,90,1879,1,3,3,2,2,3,173
William Carvalho,26,84,86,31.5,38,1985,1,3,4,3,2,3,170
Jorginho,26,84,87,38,155,2136,1,2,3,3,2,3,171
F. Thauvin,25,84,87,39,72,2091,0,2,3,4,3,3,171
Carvajal,26,84,87,31.5,185,2040,1,3,3,3,4,2,171
M. Depay,24,84,89,42,93,2083,1,3,3,5,2,4,173
H. Son,25,84,85,37,125,2079,1,3,5,4,4,3,169
A. Lopes,27,84,86,25,72,1355,0,2,2,1,2,1,170
S. de Vrij,26,84,86,31.5,88,1808,1,3,4,2,3,2,170
M. Perin,25,84,89,29.5,105,1254,1,2,3,1,2,1,173
J. Cuadrado,30,84,84,29.5,150,2163,1,3,3,5,3,3,168
Iago Aspas,30,84,84,30,45,2057,0,2,3,3,4,4,168
B. Leno,26,84,87,27,115,1278,1,3,4,1,2,1,171
N. Matić,29,84,84,24,165,2100,0,3,3,3,3,3,168
L. Hrádecký,28,84,84,22,74,1132,1,2,3,1,2,1,168
Illarramendi,28,84,84,31,51,2097,1,2,3,4,3,3,168
K. Walker,28,84,84,24.5,165,2175,1,3,2,2,4,2,168
I. Gündoğan,27,84,84,32,175,2138,1,3,4,4,3,3,168
José Callejón,31,84,84,27.5,105,2045,1,3,3,3,4,3,168
A. Di María,30,84,84,29.5,125,2113,0,4,2,5,3,3,168
M. Mandžukić,32,84,84,25,160,2106,1,3,3,3,4,4,168
Willian,29,84,84,30.5,175,2052,1,3,4,4,4,4,168
Sergio Asenjo,29,84,85,24,42,1333,1,2,3,1,2,1,169
E. Banega,30,84,84,29,31,2133,1,3,4,4,2,3,168
A. Witsel,29,84,84,24,77,2200,1,3,4,4,2,3,168
D. Payet,31,84,84,27.5,75,2053,1,3,4,4,2,3,168
Jonas,34,84,84,16.5,25,2023,1,3,5,3,3,4,168
Sokratis,30,84,84,23,140,1797,1,3,2,2,3,2,168
S. Ruffier,31,84,84,19,41,1254,1,3,3,1,2,1,168
Falcao,32,84,84,25,115,2026,1,3,4,3,3,4,168
K. Schmeichel,31,84,84,19,78,1351,1,2,3,1,2,1,168
Raúl Albiol,32,84,84,18,88,1765,1,3,3,2,2,2,168
A. Gómez,30,84,84,30,53,2049,1,3,4,4,3,4,168
A. Barzagli,37,84,84,4.2,95,1740,1,3,3,2,2,2,168
Quaresma,34,84,84,15.5,80,1988,1,3,4,5,2,3,168
A. Robben,34,84,84,15.5,110,2044,0,4,2,4,2,3,168
O. Dembélé,21,83,92,40,155,1993,0,3,5,4,2,4,175
Gabriel Jesus,21,83,92,41,130,2051,1,2,3,4,4,4,175
Ronaldo Cabrais,26,83,83,28,51,2095,1,1,4,4,3,4,166
Josué Chiamulera,26,83,83,22.5,43,1894,1,1,3,2,2,2,166
Louri Beretta,26,83,83,28.5,60,1921,1,1,3,4,2,4,166
P. Kimpembe,22,83,89,30.5,82,1899,0,2,3,3,4,2,172
N. Keïta,23,83,88,34,120,2082,1,2,4,4,3,3,171
C. Tolisso,23,83,88,34,85,2207,1,2,3,3,3,3,171
T. Lemar,22,83,89,35.5,64,2173,0,3,2,4,3,3,172
K. Coman,22,83,87,34,85,1918,1,2,3,5,1,3,170
J. Tah,22,83,88,29.5,67,1673,1,2,4,2,2,2,171
Anderson Talisca,24,83,90,36.5,18,2142,0,2,4,4,3,3,173
T. Werner,22,83,87,34.5,70,1967,1,3,4,3,3,4,170
A. Rabiot,23,83,87,33,91,2184,0,2,3,3,3,3,170
L. Goretzka,23,83,88,34,85,2203,1,3,4,3,4,3,171
Q. Promes,26,83,84,30.5,28,2056,1,2,4,5,2,3,167
H. Ziyech,25,83,86,32.5,28,2098,0,3,2,4,4,3,169
Lucas Vázquez,27,83,83,27,205,2048,1,2,4,4,4,4,166
Y. Carrasco,24,83,86,33,20,2015,1,3,4,4,3,3,169
Gerard Moreno,26,83,85,32,53,1967,0,1,4,4,3,4,168
Felipe,29,83,83,20,22,1788,1,3,3,2,3,2,166
M. Kovačić,24,83,89,35,165,2115,1,3,4,4,4,3,172
Kepa,23,83,91,28.5,84,1223,1,1,4,1,2,1,174
Manu Trigueros,26,83,84,30,49,2121,1,2,4,4,2,3,167
S. Gnabry,22,83,88,34.5,85,2041,1,2,4,4,3,4,171
J. Pickford,24,83,88,25,78,1435,0,1,4,1,2,1,171
S. Savić,27,83,86,26,67,1696,1,2,3,2,3,2,169
J. Stones,24,83,87,28.5,125,1858,1,2,4,3,3,2,170
Suso,24,83,86,33,115,1959,0,3,3,4,3,4,169
J. Draxler,24,83,86,32.5,91,2112,1,3,5,4,2,3,169
Felipe Anderson,25,83,85,31.5,110,2042,1,3,4,4,3,3,168
Lucas Moura,25,83,84,31,115,2075,1,3,3,4,3,3,167
Danilo Pereira,26,83,86,27,21,2028,1,3,3,3,3,3,169
Nacho Fernández,28,83,85,24.5,180,1855,1,2,4,2,3,2,168
T. Horn,25,83,87,24,25,1261,0,2,3,1,2,1,170
Allan,27,83,83,26.5,87,2157,1,2,3,4,3,3,166
F. Acerbi,30,83,83,19,64,1849,0,2,3,3,2,2,166
Sergi Roberto,26,83,86,26.5,170,2106,1,3,3,4,4,2,169
Rodrigo,27,83,84,30.5,57,2060,0,2,3,4,3,4,167
Pizzi,28,83,83,25.5,22,2149,1,3,4,3,3,3,166
K. Kampl,27,83,83,26.5,74,2076,1,2,4,3,4,3,166
Neto,28,83,84,21,41,1295,1,2,2,1,2,1,167
O. Baumann,28,83,84,21,42,1222,1,2,1,1,2,1,167
I. Gueye,28,83,83,21,125,2055,1,2,3,3,3,3,166
H. Mkhitaryan,29,83,83,25.5,145,2100,1,3,5,4,2,3,166
Marcos Alonso,27,83,84,24,130,2201,0,2,3,3,2,2,167
D. Subašić,33,83,83,13,70,1284,1,3,2,1,2,1,166
K. Glik,30,83,83,19,86,1582,1,3,2,2,1,2,166
K. Strootman,28,83,83,21,66,2139,0,3,3,3,3,3,166
B. Dost,29,83,83,26,26,1793,1,3,3,2,2,4,166
Oscar,26,83,84,30.5,29,2022,1,3,3,4,2,3,167
M. Balotelli,27,83,83,27.5,55,1914,1,4,4,4,1,4,166
Luiz Gustavo,30,83,83,19,63,2025,0,3,3,3,3,2,166
Giuliano,28,83,83,26,64,2073,1,2,3,4,3,3,166
David Luiz,31,83,83,17.5,130,2074,1,4,3,3,2,2,166
R. Fährmann,29,83,84,20,38,1179,1,2,1,1,2,1,167
Juan Mata,30,83,83,24.5,160,1984,0,3,3,4,2,3,166
Adán,31,83,83,15.5,55,1299,0,2,2,1,2,1,166
Rui Patrício,30,83,83,16.5,74,1352,0,3,2,1,2,1,166
Y. Sommer,29,83,84,20,35,1299,1,3,4,1,2,1,167
Javi Martínez,29,83,83,20,94,1948,1,3,3,2,2,3,166
L. Bender,29,83,83,20,82,2049,1,3,3,2,4,2,166
Lucas Leiva,31,83,83,17.5,64,2095,1,3,3,3,3,3,166
S. Mandanda,33,83,83,13,51,1218,1,3,3,1,2,1,166
Cesc Fàbregas,31,83,83,22,140,2040,1,4,3,3,3,3,166
M. Dembélé,30,83,83,24,120,2177,0,3,2,4,2,3,166
F. Ribéry,35,83,83,11.5,72,1929,1,4,4,5,2,3,166
R. Jarstein,33,83,83,13,33,1191,1,2,4,1,2,1,166
D. De Rossi,34,83,83,8,80,2101,1,3,4,2,3,3,166
Pepe Reina,35,83,83,6,56,1299,1,3,3,1,2,1,166
J. Pavlenka,26,82,85,19.5,30,1060,1,1,3,1,2,1,167
M. de Ligt,18,82,91,27,11,1937,1,2,4,2,2,2,173
Rodri,22,82,87,29,59,2055,1,1,3,4,3,3,169
Arthur,21,82,90,32.5,125,2120,1,1,3,4,2,3,172
G. Donnarumma,19,82,93,29,23,1278,1,3,3,1,2,1,175
Rosberto Dourado,30,82,82,16.5,46,2061,1,1,4,2,3,3,164
Juiano Mestres,34,82,82,6.5,39,2003,1,1,3,2,3,2,164
Raphaelito Anjos,30,82,82,14,32,1191,1,1,2,1,2,1,164
Gelson Martins,23,82,87,29.5,59,2023,1,3,3,5,3,3,169
Gonçalo Guedes,21,82,86,29,36,2006,1,1,3,4,2,3,168
L. Torreira,22,82,87,25,98,2111,1,2,3,3,3,3,169
Malcom,21,82,89,31.5,140,1984,0,2,4,4,2,4,171
Pau López,23,82,87,21.5,21,1319,0,1,3,1,2,1,169
L. Hernández,22,82,88,25.5,53,1953,0,1,3,3,3,2,170
C. Lenglet,23,82,88,26,135,1775,0,1,4,2,3,2,170
A. Kramarić,27,82,83,26,54,2013,1,2,4,4,2,3,165
A. Robertson,24,82,87,24.5,98,2023,0,1,2,3,4,2,169
Dani García,28,82,83,20,33,1940,1,2,3,3,3,3,165
F. Bernardeschi,24,82,87,29.5,110,2096,0,2,3,5,4,3,169
J. Brandt,22,82,88,30.5,68,1905,1,2,4,4,2,3,170
D. Rugani,23,82,86,24.5,95,1705,1,2,3,2,1,2,168
Samu Castillejo,23,82,86,29,94,1968,0,2,2,4,3,3,168
João Cancelo,24,82,88,25.5,95,2174,1,2,3,4,3,2,170
A. Romagnoli,23,82,89,26.5,84,1750,0,2,3,2,3,2,171
T. Partey,25,82,88,25.5,59,2068,1,1,3,3,4,3,170
Fred,25,82,84,26.5,140,2180,0,1,4,4,4,3,166
J. Vardy,31,82,82,20,96,2082,1,3,3,3,4,4,164
A. Belotti,24,82,87,30,58,1962,1,3,5,3,4,4,169
E. Forsberg,26,82,83,26,67,1936,1,2,4,4,2,3,165
J. Lingard,25,82,83,26.5,140,2095,1,2,3,4,4,3,165
F. Vázquez,29,82,82,21.5,27,1969,0,2,3,4,3,3,164
E. Višća,28,82,82,22.5,40,2054,1,2,4,4,3,3,164
A. Rüdiger,25,82,84,22.5,110,1843,1,2,3,2,3,2,166
A. Florenzi,27,82,83,20.5,73,2253,1,3,3,4,3,2,165
H. Maguire,25,82,85,23.5,77,1853,1,1,3,2,4,2,167
T. Meunier,26,82,83,21,87,2162,1,2,4,3,4,3,165
S. Sané,27,82,82,18.5,41,1840,1,2,3,3,3,2,164
G. Kondogbia,25,82,85,27.5,46,2171,0,2,2,4,3,3,167
Rafinha,25,82,87,29.5,165,2091,0,2,4,4,4,3,169
Gabriel Paulista,27,82,83,21,44,1959,1,2,2,2,2,2,165
Morata,25,82,85,28.5,135,1886,1,3,4,3,4,4,167
J. Cillessen,29,82,84,18,135,1292,1,3,3,1,2,1,166
W. Ben Yedder,27,82,82,23.5,28,2042,1,2,5,4,4,4,164
C. Bakambu,27,82,83,26,33,2010,1,2,4,3,2,4,165
Pablo Sarabia,26,82,83,26,26,2027,0,2,4,4,3,3,165
W. Zaha,25,82,85,28.5,78,1930,1,2,3,5,2,4,167
Luis Alberto,25,82,85,28.5,67,1941,1,2,3,4,3,4,167
Jonathan Viera,28,82,82,22.5,31,2152,1,2,4,4,2,4,164
Bartra,27,82,83,21,32,2032,1,3,3,3,3,2,165
S. Coates,27,82,83,21,19,1714,1,3,3,2,2,2,165
Willian José,26,82,83,26.5,44,1945,1,2,4,4,1,4,165
Mário Fernandes,27,82,82,18.5,1,2102,1,2,3,3,4,2,164
Víctor Ruiz,29,82,83,19.5,43,1830,0,2,2,2,2,2,165
T. Delaney,26,82,83,21.5,61,2211,0,2,4,3,4,3,165
K. Casteels,26,82,85,19.5,46,1250,0,2,2,1,2,1,167
M. Götze,26,82,85,27,67,2101,1,4,4,4,2,3,167
S. Mustafi,26,82,84,22.5,115,1914,1,3,3,2,3,2,166
J. Pastore,29,82,82,21.5,84,2050,1,3,4,4,3,3,164
Pedro,30,82,82,21,140,1968,1,3,5,4,4,4,164
G. Bonaventura,28,82,82,22,115,2207,1,3,3,4,3,3,164
R. Bürki,27,82,85,18.5,50,1245,1,3,2,1,2,1,167
Taison,30,82,82,21,1,2055,1,2,3,4,2,3,164
S. Nzonzi,29,82,82,17,77,2006,1,2,3,2,2,3,164
Marlos,30,82,82,21,1,2075,0,2,4,5,2,3,164
A. Ramsey,27,82,83,25,130,2110,1,3,3,3,4,3,165
K. Trippier,27,82,82,18.5,99,2161,1,2,4,3,4,2,164
A. Kolarov,32,82,82,12.5,73,2230,0,2,3,3,3,2,164
G. Sigurðsson,28,82,82,22.5,125,2096,1,3,5,3,4,3,164
S. Giovinco,31,82,82,20,15,1957,1,2,4,4,3,4,164
M. Arnautović,29,82,82,22,120,2106,1,3,4,4,3,4,164
N. Gaitán,30,82,82,21,22,2010,0,3,2,4,2,3,164
J. Henderson,28,82,82,18,125,2163,1,2,3,3,3,3,164
M. Kruse,30,82,82,21.5,45,2063,0,2,4,4,3,4,164
M. Parolo,33,82,82,9,59,2151,1,2,4,3,4,3,164
L. Fejsa,29,82,82,17,18,1945,1,2,3,2,2,3,164
A. Rami,32,82,82,12.5,57,1793,1,3,3,2,4,2,164
V. Ćorluka,32,82,82,12.5,1,1909,1,3,3,3,3,2,164
G. Wijnaldum,27,82,82,23,130,2175,1,3,3,4,4,3,164
F. Fazio,31,82,82,15,73,1633,1,3,2,2,2,2,164
O. Giroud,31,82,82,20,140,1927,0,3,3,3,2,4,164
Marcano,31,82,82,15,73,1827,0,3,3,2,2,2,164
A. Guardado,31,82,82,19,35,2146,0,3,2,4,2,3,164
E. Garay,31,82,82,15,44,1896,1,3,3,2,2,2,164
Jardel,32,82,82,12.5,17,1687,1,2,2,2,3,2,164
S. Sirigu,31,82,82,13.5,45,1213,1,3,2,1,2,1,164
E. Viviano,32,82,82,12.5,15,1169,0,2,2,1,2,1,164
L. Koscielny,32,82,82,12.5,115,1807,1,3,3,2,3,2,164
A. Consigli,31,82,82,13.5,52,1180,1,2,3,1,2,1,164
L. Biglia,32,82,82,12.5,98,2104,1,3,4,3,3,3,164
Dani Alves,35,82,82,4.8,62,2197,1,4,3,4,2,2,164
David Villa,36,82,82,8,12,1993,1,3,5,4,2,4,164
Aduriz,37,82,82,8,29,1973,1,3,3,3,3,4,164
P. Čech,36,82,82,3,60,1166,0,4,3,1,2,1,164
Casillas,37,82,82,1.5,10,1308,0,4,2,1,2,1,164
M. Rashford,20,81,89,27,110,2062,1,2,4,4,3,4,170
Laure Santeiro,30,81,81,17,40,1853,0,1,5,4,2,3,162
L. Bailey,20,81,89,26.5,54,2011,0,1,4,4,3,3,170
M. Akanji,22,81,87,21,49,1868,1,2,3,2,3,2,168
F. de Jong,21,81,89,26,19,2064,1,1,3,4,2,3,170
Nélson Semedo,24,81,86,20,125,2039,1,2,3,4,3,2,167
Pablo Fornals,22,81,86,24,36,2071,1,1,3,4,4,3,167
Fabián,22,81,89,26,64,2094,0,1,4,4,2,3,170
E. Bailly,24,81,87,21,105,1853,1,2,3,2,3,2,168
Dani Ceballos,21,81,88,25,120,2059,1,1,3,4,2,3,169
H. Lozano,22,81,86,24,22,2019,1,3,4,4,3,4,167
Morales,30,81,81,17,33,2084,1,1,4,4,3,4,162
J. Seri,26,81,82,20.5,73,2128,1,2,4,3,2,3,163
M. Politano,24,81,84,22.5,57,1983,0,2,4,4,3,3,165
M. Brozović,25,81,84,18.5,64,2149,1,2,4,3,2,3,165
Williams,24,81,87,24.5,31,2000,1,2,3,4,4,4,168
A. Correa,23,81,87,24.5,54,2047,1,1,4,4,1,3,168
A. Christensen,22,81,88,21.5,91,1717,1,2,3,2,1,2,169
João Mário,25,81,84,22.5,71,2055,1,3,4,4,2,3,165
T. Strakosha,23,81,86,17,36,1139,1,1,2,1,2,1,167
E. Hysaj,24,81,86,20,58,1935,1,2,3,3,2,2,167
P. Zieliński,24,81,88,24.5,64,2075,1,3,5,4,2,3,169
Ricardo Pereira,24,81,85,19,64,2127,1,3,4,3,4,2,166
Grimaldo,22,81,87,20.5,14,2137,0,3,2,3,3,2,168
R. Guerreiro,24,81,86,24,54,2146,0,3,3,4,2,3,167
A. Doucouré,25,81,85,19.5,60,2081,1,2,3,3,3,3,166
J. Martínez,25,81,84,22.5,14,1917,1,1,4,3,3,4,165
C. Bacca,31,81,81,16,45,1884,1,3,2,3,1,4,162
A. Plea,25,81,83,22,40,2054,1,2,3,4,3,4,164
B. Davies,25,81,84,18.5,87,2035,0,2,3,3,4,2,165
M. Nastasić,25,81,84,18.5,36,1821,0,2,2,2,2,2,165
A. Milik,24,81,88,25.5,71,1937,0,3,3,4,2,4,169
M. Sabitzer,24,81,84,22.5,54,2107,1,2,4,3,4,3,165
B. Mendy,23,81,86,20,105,2038,0,2,3,3,2,2,167
C. Kramer,27,81,82,17,35,1866,1,2,3,3,4,3,163
S. Vrsaljko,26,81,84,18,57,2069,1,2,3,3,3,2,165
T. Hazard,25,81,83,21.5,40,2013,1,2,3,4,2,4,164
K. Bellarabi,28,81,81,18,76,1956,1,3,3,4,4,3,162
S. Zaza,27,81,82,21,48,2028,0,2,3,4,4,4,163
F. Ghoulam,27,81,82,16.5,68,2114,0,2,4,3,3,2,163
B. Lecomte,27,81,84,15,27,1114,0,2,3,1,2,1,165
J. Iličić,30,81,81,17,41,1976,0,3,3,4,2,3,162
K. Volland,25,81,83,22,76,2079,0,2,3,3,4,4,164
Paco Alcácer,24,81,85,23.5,59,1948,1,2,4,3,3,4,166
Vitolo,28,81,81,18,65,2007,1,2,4,3,4,3,162
G. Xhaka,25,81,84,22,115,1978,0,3,2,3,2,3,165
D. Tadić,29,81,81,17.5,26,1972,0,3,2,4,1,3,162
C. Aránguiz,29,81,81,17,76,2144,1,2,4,3,2,3,162
S. Verdi,25,81,81,19.5,77,2053,0,2,5,4,3,4,162
D. Lovren,28,81,82,16,115,1726,1,2,4,2,3,2,163
G. Medel,30,81,81,13,56,1996,1,3,4,3,3,2,162
X. Shaqiri,26,81,81,19,130,2087,0,3,4,5,2,3,162
J. Corona,25,81,83,21.5,18,1993,1,3,5,5,1,3,164
A. Areola,25,81,85,16.5,61,1266,1,2,3,1,2,1,166
K. Vogt,26,81,82,17.5,42,1958,1,2,3,2,3,2,163
Ander Herrera,28,81,81,17.5,140,2170,1,3,4,3,4,3,162
E. Salvio,27,81,81,18.5,19,2141,1,2,4,4,3,4,162
S. El Shaarawy,25,81,82,21,77,1913,1,3,3,5,3,3,163
C. Smalling,28,81,82,16,130,1799,1,3,3,2,3,2,163
Hulk,31,81,81,15.5,25,2102,0,4,3,4,3,3,162
S. Kagawa,29,81,81,17.5,65,1948,1,3,4,4,3,3,162
M. Lanzini,25,81,85,23,90,1931,1,2,3,4,2,3,166
F. Smolov,28,81,81,18.5,1,1971,1,1,4,4,3,4,162
L. Stindl,29,81,81,18,43,2129,1,2,4,4,2,4,162
O. Toprak,28,81,82,16,59,1826,1,3,4,2,2,2,163
D. Perotti,29,81,81,17.5,84,1959,1,3,4,4,2,4,162
F. Muslera,32,81,81,10,52,1359,1,3,2,1,2,1,162
B. Höwedes,30,81,81,13,1,1813,1,3,3,2,2,2,162
S. Kjær,29,81,81,14,23,1837,1,3,3,2,2,2,162
S. Bender,29,81,81,14,69,1868,1,2,4,2,3,2,162
M. Valbuena,33,81,81,11,86,1955,1,3,3,3,3,3,162
Pedro León,31,81,81,15.5,32,1980,1,2,3,4,1,3,162
K. Boateng,31,81,81,15,65,2168,1,3,4,4,3,3,162
L. Piszczek,33,81,81,7,57,2128,1,3,4,2,2,2,162
A. Candreva,31,81,81,15.5,74,2084,1,3,4,4,2,3,162
